20190504,浦东,川沙,两房朝南 厅采光明亮 中等装修  位置好 楼层佳,215万,南桥小区  | 2室1厅 | 64.4平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-ecf3016d-2510-4b6d-9cbf-627bd8ea087b.jpg.296x216.jpg
20190504,浦东,川沙,2006年商品房东都豪苑82平南北户型2房诚意出售价格低,265万,东都豪苑  | 2室2厅 | 82.44平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-2f67e9b2-b4cd-48f3-a143-74c1ec105f6b.jpg.296x216.jpg
20190504,浦东,川沙,满五年唯一免个税，采光好，中等装修，总价低，位置好,206万,普陀新村  | 2室2厅 | 85.41平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-ddb7b8c5-32a9-4bd0-9136-8c793bad6bf6.png.296x216.jpg
20190504,浦东,川沙,户型好 一楼带院子 精装修 可以直接 拎包入住,166万,思凡馨苑  | 1室1厅 | 53.29平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-ca7705f1-43d4-4831-b5ef-4088027e5f9e.png.296x216.jpg
20190504,浦东,川沙,新德路地段好 一梯两户 两房朝南   附带12平露台房主自荐,275万,新德路386弄  | 2室1厅 | 84.21平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-e1d5e940-d686-4956-b39c-af7a5088dc57.jpg.296x216.jpg
20190504,浦东,川沙,3开间朝南，满5唯一免个税，产权清晰，无抵押，无户口,240万,晨阳小区  | 3室1厅 | 98.54平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-6a008542-7362-4085-8558-e963c409fdff.jpg.296x216.jpg
20190504,浦东,川沙,晨光公寓 3室1厅 340万,340万,晨光公寓  | 3室1厅 | 93.86平米 | 南 北 | 其他 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-bb323ed1-0c44-49a9-81f1-1a57231c8292.jpg.296x216.jpg
20190504,浦东,川沙,刚需小户型 十几万的装修 楼层偏高 房东置换诚信卖房,152万,鑫唐绿波庭  | 1室1厅 | 48.94平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-2e5af6be-acf8-4749-9afc-748940bae1ac.jpg.296x216.jpg
20190504,浦东,川沙,天和湖滨家园(公寓) 2室2厅 360万,360万,天和湖滨家园(公寓)  | 2室2厅 | 97.73平米 | 南 | 其他 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-8048afb4-6a02-4f1e-91e3-8ff5582b6b21.jpg.296x216.jpg
20190504,浦东,川沙,百晨小区 大两房 一房朝南 一房朝北 自住精装修,260万,百晨小区  | 2室2厅 | 92.55平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-eac7df4c-6c13-4e59-9115-1e44d79b1658.jpg.296x216.jpg
20190504,浦东,川沙,东都豪苑零六年商品房，满五唯一精装自住诚意出售,260万,东都豪苑  | 2室2厅 | 82平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-2fb493e0-30d6-4bc4-980f-d7950fcaead3.jpg.296x216.jpg
20190504,浦东,川沙,普园路34弄 3室1厅 260万,260万,普园路34弄  | 3室1厅 | 97.12平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-ef52499a-4154-4dad-b2cb-19ab734123c8.jpg.296x216.jpg
20190504,浦东,川沙,运通路728弄 2室1厅 185万,185万,运通路728弄  | 2室1厅 | 62.6平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-22f52c0d-9654-4ed0-975b-d0df37bf30af.jpg.296x216.jpg
20190504,浦东,川沙,普陀新村 2室2厅 260万,260万,普陀新村  | 2室2厅 | 103.6平米 | 南 | 其他 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-98bf36bf-575b-4885-bc1b-39a556a0ab38.jpg.296x216.jpg
20190504,浦东,川沙,江镇百欣苑小区，精装两房出售!,215万,百欣苑  | 2室2厅 | 75.19平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-5099bc75-98c8-4ad3-b984-0fad8e88fb7b.jpg.296x216.jpg
20190504,浦东,川沙,上浦小区南北大两房急售随时看房。,313万,上浦小区  | 2室2厅 | 92.71平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-bb4f8a2c-8d96-4d38-bf9c-a870ab82c182.png.296x216.jpg
20190504,浦东,川沙,精装两居，拎包入住！满五唯一，1999年房龄，位置佳,240万,绿海家园  | 2室1厅 | 66.77平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-b7957fa1-9bcb-424c-a571-b472d3a72820.jpg.296x216.jpg
20190504,浦东,川沙,凌港城 1室1厅 180万,180万,凌港城  | 1室1厅 | 58.63平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-014737c0-d7c5-4983-b742-efebcf4c7803.jpg.296x216.jpg
20190504,浦东,川沙,此房满五唯一，两房朝南，税费少，停车方便，家电齐全,310万,东塘花苑  | 2室2厅 | 97平米 | 南 北 | 精装,https://image1.ljcdn.com/310000-inspection/prod-725128d0-6e9c-489a-b1c5-e2a9dc650421.jpg.296x216.jpg
20190504,浦东,川沙,华邦佳苑 1室1厅 260万,260万,华邦佳苑  | 1室1厅 | 55.75平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-564b3738-a474-4b31-bf75-68a5d16e92bb.png.296x216.jpg
20190504,浦东,川沙,河滨小区 1室1厅 165万,165万,河滨小区  | 1室1厅 | 38.2平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-541c9d39-d117-47c1-9efb-36a86162559e.jpg.296x216.jpg
20190504,浦东,川沙,西泥路小区 户型方正 精装修采光好 业主诚心卖,195万,西泥路小区  | 1室1厅 | 49.01平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-744faf8f-ff6e-447e-9afa-c547c631d109.jpg.296x216.jpg
20190504,浦东,川沙,楼层好，视野开阔，采光充足，前后无遮挡生活配套齐,280万,鼎鑫名流世家  | 1室1厅 | 65.42平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-b4ad6023-bccb-46cf-9039-42f109674349.jpg.296x216.jpg
20190504,浦东,川沙,普陀新村小两房 楼层好得房率高 两房朝南 满五唯一,168万,普陀新村  | 2室1厅 | 68.19平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-443d6e44-7c73-4241-bb1a-1efc8d09a14f.png.296x216.jpg
20190504,浦东,川沙,龙馨华庭一房，中间楼层，满两年，房东诚心卖,168万,龙馨华庭  | 1室1厅 | 58.42平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-6af8869a-becc-4111-8bcb-04979ab7daf5.png.296x216.jpg
20190504,浦东,川沙,产权清晰，产权2人 .小区环境好，看房子提前预约,235万,舒馨北苑  | 1室1厅 | 52.53平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-5a02d1f9-f192-49a8-b674-f4358b0c4eb7.jpg.296x216.jpg
20190504,浦东,川沙,好楼层 好位置 房东置换，诚心出售，看房预约。,189万,东都小区  | 2室1厅 | 52.71平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-e2e5df75-7665-49f6-86ce-25cebdb75653.jpg.296x216.jpg
20190504,浦东,川沙,情谊苑  户型方正  诚意出售 配套丰富,208万,情谊苑  | 1室1厅 | 54.98平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-436ef106-2599-4135-a72b-a23de447d2e0.jpg.296x216.jpg
20190504,浦东,川沙,心圆东苑2012年次新房，一手动迁税费少，生活配套齐全,255万,心圆东苑  | 2室1厅 | 54.27平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-8b848d7b-c061-4273-9419-52d0eb3912d8.jpg.296x216.jpg
20190504,浦东,川沙,小户型 刚需较多 户型好 有装修 房东诚心置换,148万,鑫唐绿波庭  | 1室1厅 | 49.18平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-393749c6-d085-4735-bed5-59a38c9eeee8.jpg.296x216.jpg
20190504,浦东,川沙,思凡花苑六街坊 经济一房 价格实惠 房东诚意满满,130万,思凡花苑六街坊  | 1室1厅 | 49.03平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-98b3754d-e059-4a8f-9fb9-9582cee16a09.jpg.296x216.jpg
20190504,浦东,川沙,鼎鑫精装修小户型可做两房；楼层好视野开阔；产权清晰房主自荐,279万,鼎鑫名流世家  | 1室1厅 | 65.42平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-6091b0be-1e27-4476-8fd8-f23bd3ae46e6.jpg.296x216.jpg
20190504,浦东,川沙,近地铁2号线，近百联，采光好，户型好，房东诚心卖新上,450万,妙境家园  | 3室1厅 | 112.69平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-7b22ecd2-d0d7-4356-be95-0ff4e5f2dcd9.jpg.296x216.jpg
20190504,浦东,川沙,近迪士尼乐园 满五唯一 看房随时 有车位采光好无遮挡,200万,黄楼花苑  | 1室1厅 | 57.16平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-86e2a787-ec57-42b8-ac6b-7f1758c7c951.jpg.296x216.jpg
20190504,浦东,川沙,思凡花苑一街坊 1室0厅 108万,108万,思凡花苑一街坊  | 1室0厅 | 26.73平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-73354998-4dd1-4c27-8367-ba1bf9ba1e16.jpg.296x216.jpg
20190504,浦东,川沙,东锦苑 中间楼层 自住装修 业主诚意卖房 随时看房,268万,东锦苑  | 1室1厅 | 59.57平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-5cc8c88e-7188-4e17-ad5b-f11a1ec7b8b0.jpg.296x216.jpg
20190504,浦东,川沙,新德佳苑07年竣工，南北通满二年，可拎包入住，阳光房,230万,新德佳苑  | 1室1厅 | 49.35平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-fd15278f-3e6a-42af-8f07-87e4ead16cc9.jpg.296x216.jpg
20190504,浦东,川沙,思凡花苑一街坊 2室2厅 175万,175万,思凡花苑一街坊  | 2室2厅 | 74.88平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/x-se/hdic-frame/test-c43705a8-0e2d-4778-933b-4f08f83aea5f.png.280x210.jpg
20190504,浦东,川沙,施湾商品房，毛坯两房，可以根据您个人风格随性装修,255万,东亚启航公馆  | 2室1厅 | 78平米 | 南 | 毛坯,https://image1.ljcdn.com/310000-inspection/prod-1d2acf63-641d-4a3c-a84d-04db698349c3.jpg.296x216.jpg
20190504,浦东,川沙,此房是满五不唯一的，两房南户型，带大阳台，采光好,385万,东方城市绿洲  | 2室2厅 | 86.83平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-b8fa3867-6342-4734-bbda-2c3abe4c68d1.jpg.296x216.jpg
20190504,浦东,川沙,城西小区，总价低！得房率高！配套齐全,135万,城西小区  | 1室1厅 | 38.97平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-96393c5a-a5da-4aa8-81cb-ae595111df23.jpg.296x216.jpg
20190504,浦东,川沙,新德路506弄 1室1厅 163万,163万,新德路506弄  | 1室1厅 | 45.09平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-1aabbff6-7428-49cb-95a4-04fb5d559a2b.jpg.296x216.jpg
20190504,浦东,川沙,南北房间通风性可以，满五唯一没有个税，房东诚心出售新上,195万,北城小区  | 2室1厅 | 62.73平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-acf6b328-0e70-4f6b-8705-20d9c90ca833.png.296x216.jpg
20190504,浦东,川沙,御景豪园 2室2厅 495万,495万,御景豪园  | 2室2厅 | 95.13平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/7ad487ac-79b3-43a4-9c69-a21dbdd2f22e.jpg.296x216.jpg
20190504,浦东,川沙,华夏东路地铁口下叠别墅  满五年唯一 精装修,688万,华夏金桂苑(别墅)  | 3室2厅 | 149.8平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/rsp_pic_upload5683be6e-8f72-4beb-9896-05f6b24eb11a.jpg.296x216.jpg
20190504,浦东,川沙,06年商品房，中间楼层，满五年且唯一，采光好诚意出售,360万,华邦佳苑  | 3室2厅 | 105.88平米 | 南 北 | 毛坯 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20170925/79e97e5c-b35d-4f28-8e7c-7e74d15e7e3d.jpg.296x216.jpg
20190504,浦东,川沙,小面积，精装拎包入住，诚意出售,200万,新德五村  | 2室1厅 | 54.5平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20171202/15552554-4b51-4edc-ab45-5130ce6ec092.jpg.296x216.jpg
20190504,浦东,川沙,精装修温馨小两房，双朝南，环境好，景观楼层采光好,245万,曙光南桥小区  | 2室1厅 | 68.81平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20170807/fc48e392-a5df-47f5-8e13-a70fe8332892.jpg.296x216.jpg
20190504,浦东,川沙,1999年房龄，小区中间位置，产权清晰，满五年唯一！房主自荐,225万,绿海家园  | 2室2厅 | 67平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20170610/3f1c3dcc-6763-4d6a-8442-9ab6d0fcf8f2.jpg.296x216.jpg
20190504,浦东,川沙,新川苑 2000年商品房 双南户型 采光好 诚心卖,283万,新川苑  | 2室1厅 | 83.3平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20171005/11a0a186-5f8d-4c54-b389-5a7852d8823a.jpg.296x216.jpg
20190504,浦东,川沙,一首动迁+自住装修，房东诚心卖，随时看房，随时可谈,480万,顺馨佳园  | 3室2厅 | 120.68平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20171011/54cb3c67-3318-45fd-bd19-84c4cd3dfa9c.jpg.296x216.jpg
20190504,浦东,川沙,精装大三房 卧室客厅三开间朝南 2楼出入方便,428万,鑫龙佳苑  | 3室2厅 | 112.44平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20170312/02a88f83-5e4a-438a-96bf-f988d7773f4d.jpg.296x216.jpg
20190504,浦东,川沙,大平层，南北通透，精装修，近地铁，看房方便新上,703万,立诚苑  | 4室2厅 | 152.05平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/cca835e3-103d-4597-90ea-d1182acad8c8.jpg.296x216.jpg
20190504,浦东,川沙,新德路341弄 2室2厅 330万,330万,新德路341弄  | 2室2厅 | 94.31平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20160810/7349aa20-aeb7-4135-9bc1-f2f3dd844ed7.jpg.296x216.jpg
20190504,浦东,川沙,此房通透性好 视野开阔  交通便利  配套成熟 诚意出售房主自荐,420万,鼎鑫名流世家  | 2室1厅 | 92.72平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/shfdfs-image/20170903/5c7b372b-b604-4760-b1b8-1eb0b8b67733.jpg.296x216.jpg
20190504,浦东,川沙,天环苑 3室2厅 345万,345万,天环苑  | 3室2厅 | 107.29平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20160218/df65f8fe-771c-4be4-93de-8b0d408f8587.jpg.296x216.jpg
20190504,浦东,川沙,新洲豪园 3室1厅 415万,415万,新洲豪园  | 3室1厅 | 101.29平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/shfdfs-image/20170402/83271ea8-b9ef-4327-aaf8-fa1cce56ef74.jpg.296x216.jpg
20190504,浦东,川沙,新德路506弄 3室2厅 390万,390万,新德路506弄  | 3室2厅 | 118.32平米 | 暂无数据 | 简装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20160731/b2322597-2d50-493e-8b3c-d25952d64f24.jpg.296x216.jpg
20190504,浦东,川沙,新德佳苑 08年次新房 南北通户型 业主置换诚心出售,455万,新德佳苑  | 3室2厅 | 118.02平米 | 东南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/231eeb4e-3148-412f-a780-eb378f292ce3.jpg.296x216.jpg
20190504,浦东,川沙,明光苑 2室2厅 465万,465万,明光苑  | 2室2厅 | 107.96平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20170630/b31899b5-1ece-4d46-b657-117bfc9edf60.jpg.296x216.jpg
20190504,浦东,川沙,万馨佳园 3室2厅 550万,550万,万馨佳园  | 3室2厅 | 119.69平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20171012/75c81e49-2207-4813-a3aa-8939f162bebf.jpg.296x216.jpg
20190504,浦东,川沙,和憬家园 2室2厅 460万,460万,和憬家园  | 2室2厅 | 87.76平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/shfdfs-image/20160130/5bf2daa8-b169-4fee-9037-449f45009772.jpg.296x216.jpg
20190504,浦东,川沙,天环苑 1室1厅 205万,205万,天环苑  | 1室1厅 | 55.08平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20161017/7cb2922a-3d46-4386-8c70-dcc49754422d.jpg.296x216.jpg
20190504,浦东,川沙,心圆西苑次新电梯房，有动迁协议少税费，楼层正采光好,330万,心圆西苑  | 2室1厅 | 74.8平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/shfdfs-image/20170926/da3c23bf-de56-4cca-af69-d2d3ccb3d1da.jpg.296x216.jpg
20190504,浦东,川沙,界龙花苑  配套完善  面积大 单价低  诚意出售,460万,界龙花苑  | 4室2厅 | 150.91平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20171219/3a4c0b65-56f0-4bbd-b2ef-eb0e0eb4fd0d.jpg.296x216.jpg
20190504,浦东,川沙,5楼带阁楼，96年商品房，使用面积大，附带阳光房,350万,妙境公寓  | 3室2厅 | 105.92平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20160425/d23bbd3a-4e99-4f7e-8d66-49f8c8cc40ef.jpg.296x216.jpg
20190504,浦东,川沙,近轨道交通2号线两房带装修直接入住 动迁无增值税,345万,心圆西苑  | 2室1厅 | 74.2平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/shfdfs-image/20170513/b575f7c8-f68b-4fbc-a0b7-0685298bed2a.jpg.296x216.jpg
20190504,浦东,川沙,房东 换 房子诚意卖  2房1楼还带院子，看房子方便.,330万,万馨佳园  | 2室1厅 | 77.16平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/0c241efd-07c9-40f8-8be3-3925a92b170e.jpg.296x216.jpg
20190504,浦东,川沙,沙田公寓 全南户型 满五年 三房朝南 满五年税少,285万,沙田公寓  | 3室1厅 | 88.91平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20161015/f9089903-cf19-48fc-8fc7-d9f111de5bae.jpg.296x216.jpg
20190504,浦东,川沙,正气大1房..位置好.总价低 户型正气,160万,曙光南桥小区  | 1室1厅 | 44平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20171015/8768ad43-98a4-469b-a169-19325c1c6031.jpg.296x216.jpg
20190504,浦东,川沙,川北小区 低总价 满五年 生活方便,145万,川北小区  | 1室1厅 | 35.46平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/rsp_pic_upload298fbc5e-6905-401b-90ce-f47f5f0a3608.jpg.296x216.jpg
20190504,浦东,川沙,界龙新世纪公寓 步行街边上 房东急售 小区中间,540万,界龙新世纪公寓  | 3室2厅 | 139.29平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20170908/311cdab0-f2b4-42bc-8afd-27414813ed9d.jpg.296x216.jpg
20190504,浦东,川沙,75平两房、三楼户型好、小区中间位置、看房随时,310万,青厦小区  | 2室1厅 | 75.48平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/c11c3db0-f284-466c-b836-71bc81572ebf.jpg.296x216.jpg
20190504,浦东,川沙,业主诚意售上叠别墅、高品质住宅环境好，精装带阁楼房主自荐,1000万,阳光城愉景湾   | 叠拼别墅 | 5室2厅 | 156平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/b455c3b6-1064-435d-85bb-40b72d39f3c8.jpg.296x216.jpg
20190504,浦东,川沙,天和湖滨 大三房 两房朝南 简单装修 无遮挡 视野好新上,406万,天和湖滨家园(公寓)  | 3室2厅 | 129.12平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/shfdfs-image/20170205/a7ffc6f5-0f99-447d-a016-042f042e0440.jpg.296x216.jpg
20190504,浦东,川沙,凯佳公寓 2室2厅 630万新上,630万,凯佳公寓  | 2室2厅 | 110.03平米 | 南 北 | 其他 | 有电梯,https://image1.ljcdn.com/310000-inspection/9b7ef518-6d15-417d-8869-956d427b5e9c.jpg.296x216.jpg
20190504,浦东,川沙,川南奉公路3424弄 3室2厅 255万,255万,川南奉公路3424弄  | 3室2厅 | 111.27平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20170226/dbaba802-ab5f-4128-8594-3bb5126d63b4.jpg.296x216.jpg
20190504,浦东,川沙,华盛  品质小区  配套成熟  诚心出售  位置佳,540万,华盛名门  | 3室2厅 | 141.72平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/shfdfs-image/20161028/387d3803-fb9c-4d6e-ba8f-166bcba53c04.jpg.296x216.jpg
20190504,浦东,川沙,川沙城区大三房 房型正气 通透好， 诚售,490万,新川苑  | 3室2厅 | 150.79平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20171104/570511e9-f793-4ab9-a6d7-54456e09da5e.jpg.296x216.jpg
20190504,浦东,川沙,满五唯一精装修，房东急卖，诚心卖 张江金科交通便利,230万,银龙小区  | 2室1厅 | 64.27平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/3038381f-ef30-409d-aac8-4edc3c9de326.jpg.296x216.jpg
20190504,浦东,川沙,金磊苑 3室2厅 540万,540万,金磊苑  | 3室2厅 | 138.44平米 | 西北 | 简装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20170211/791b721a-2d48-4470-b220-a47a546e04a3.jpg.296x216.jpg
20190504,浦东,川沙,界龙花苑，采光好，诚心卖，一梯一户  价格可以谈,400万,界龙花苑  | 3室1厅 | 95.16平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20171128/99ad8f07-80bc-4be3-9995-e661a90a46c0.jpg.296x216.jpg
20190504,浦东,川沙,3房朝南采光好，全明户型，看房随时诚心出售可以谈！,358万,新德公寓(浦东)  | 3室2厅 | 117.47平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20171217/b5b152cf-1e5a-4345-a1e6-9ab108accf0c.jpg.296x216.jpg
20190504,浦东,川沙,河滨小区精装修3楼佳 观澜+南门+地铁+公园 急售随时看,230万,河滨小区  | 2室1厅 | 59.95平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20171022/9f880e6e-21a7-4e2c-bb39-d9be6c46bc18.jpg.296x216.jpg
20190504,浦东,川沙,精装 两房  二楼带露台 业主诚意出手,320万,华沙二村  | 2室1厅 | 79.9平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/a307838a-4969-4e9c-92ce-0e16cc84ff87.jpg.296x216.jpg
20190504,浦东,川沙,满五唯一，一楼带天井，采光好，位置安静，随时看房,220万,绿海家园  | 2室1厅 | 60.45平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20171223/a2d1c305-d78c-4b96-90cf-41adfa9bef8b.jpg.296x216.jpg
20190504,浦东,川沙,一梯两户电梯商品房，房东诚意出售，看房方便。,590万,贝越水岸名邸  | 3室2厅 | 133.86平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/2521d438-6cb5-4cfb-aba8-a368c8b7caec.jpg.296x216.jpg
20190504,浦东,川沙,顺馨佳园 2室2厅 390万,390万,顺馨佳园  | 2室2厅 | 86.71平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20161218/f716b302-cadb-464c-a160-25070c073510.jpg.296x216.jpg
20190504,浦东,川沙,鼎鑫2009年商品房 精装三房 小区物业管理 绿化很好,610万,鼎鑫名流世家  | 3室2厅 | 133.54平米 | 南 北 | 简装 | 有电梯,https://image1.ljcdn.com/shfdfs-image/20170330/42e5eb7d-e22e-4006-8e89-e6f87447b0da.jpg.296x216.jpg
20190504,浦东,川沙,南进门 南花园 一二楼叠加 有地下室、,520万,同济东时区  | 4室2厅 | 138平米 | 暂无数据 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/rsp_pic_upload1cc3e5b6-b923-4fa5-a630-c110bbed6166.jpg.296x216.jpg
20190504,浦东,川沙,鑫唐绿波庭满五唯一该小区环境优越,255万,鑫唐绿波庭  | 3室1厅 | 107.06平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20170422/5833c83b-6bff-4e32-b84e-a60a4df2bf43.jpg.296x216.jpg
20190504,浦东,川沙,精装3房，楼层位置好，房屋带地暖，诚心卖大谈房主自荐,600万,翔川家园  | 3室2厅 | 98.96平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20170422/c010d0f5-0ff3-4164-bee9-5b4ace77fcbe.jpg.296x216.jpg
20190504,浦东,川沙,玉兰苑(川沙) 4室2厅 480万,480万,玉兰苑(川沙)  | 4室2厅 | 132.05平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/rsp_pic_uploade054b760-4771-4eb7-ac69-b70888886bbe.jpg.296x216.jpg
20190504,浦东,川沙,东都豪苑 3室2厅 400万,400万,东都豪苑  | 3室2厅 | 122.39平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20160630/63ec5674-79de-4a43-9452-506940d98e19.jpg.296x216.jpg
20190504,浦东,川沙,园西大3房 花园位置 砖石三楼 一手动迁 税少,500万,万馨佳园  | 3室2厅 | 119.69平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/rsp_pic_upload452d06c1-ec33-46de-9f57-58f2fe303202.jpg.296x216.jpg
20190504,浦东,川沙,百欣苑 2室2厅 298万,298万,百欣苑  | 2室2厅 | 89.23平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20160907/e0bd8d12-2c9a-4213-a39d-251244e3268c.jpg.296x216.jpg
20190504,浦东,川沙,妙境路395弄，满五唯一，中间楼层，采光通风好,350万,妙境路395弄  | 3室1厅 | 96.19平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20170506/cf227225-40f9-4d26-bb07-cbf88e37fbe8.jpg.296x216.jpg
20190504,浦东,川沙,华夏金桂苑(公寓) 3室2厅 600万,600万,华夏金桂苑(公寓)  | 3室2厅 | 138.78平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20171016/c8622c53-72f3-4848-ab67-6e12573a2b12.jpg.296x216.jpg
