20190504,普陀,真光,阳光威尼斯(二期) 1室2厅 375万新上,375万,阳光威尼斯(二期)  | 1室2厅 | 76.52平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-f6a9f704-7e5f-46ed-9b5c-78f5badd1049.jpg.296x216.jpg
20190504,普陀,真光,清涧七街坊 1室1厅 220万,220万,清涧七街坊  | 1室1厅 | 49.13平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-e583fac6-4a81-4a95-89d6-08ec0ea07edc.jpg.296x216.jpg
20190504,普陀,真光,清涧二街坊 2室1厅 290万,290万,清涧二街坊  | 2室1厅 | 62.69平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-ba3c59cc-e789-4673-83fc-59657147df99.jpg.296x216.jpg
20190504,普陀,真光,真光五街坊 双南户型 采光充足 交通便利 诚意出售,320万,真光新村第五小区  | 2室1厅 | 62.9平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-271ccebf-be94-4880-ae3f-81ba6f7ab93b.jpg.296x216.jpg
20190504,普陀,真光,满五唯一，双南户型，精装修，拎包入住,299万,清涧三街坊  | 2室1厅 | 66.15平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-0a9e8339-6319-4a6c-b648-12a47a3bbe91.jpg.296x216.jpg
20190504,普陀,真光,双南户型，楼层好，视野开阔，美丽的风景你懂的！,310万,清涧二街坊  | 2室1厅 | 63.05平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-5439b45d-1129-4228-9a60-c853ac78696c.jpg.296x216.jpg
20190504,普陀,真光,清涧四街坊 1室1厅 265万,265万,清涧四街坊  | 1室1厅 | 55.73平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-07cbabc9-994d-4e44-be70-263dfe8bcbb6.jpg.296x216.jpg
20190504,普陀,真光,清涧六街坊 1室1厅 238万,238万,清涧六街坊  | 1室1厅 | 47.54平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-11c3c463-d704-4013-b5fb-7dcb6d5e1d0f.jpg.296x216.jpg
20190504,普陀,真光,普陀真光 小三房总价低诚意出售 一梯两户素质住户长征,380万,真光七街坊  | 3室1厅 | 76.09平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-9b8080a2-4edd-4a34-b9fb-be7954169433.png.296x216.jpg
20190504,普陀,真光,全明户型+配套齐全+出行方便+一梯两户,215万,香樟苑(普陀)  | 1室1厅 | 52.65平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-f1ebf53a-737b-44d8-bddd-50978e58a221.jpg.296x216.jpg
20190504,普陀,真光,钥匙房，楼层好，采光好，诚意出售，价格可谈,460万,真光新村第二小区  | 2室2厅 | 92.88平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-caedd54e-208d-4f11-a7b0-adb77e9fb756.jpg.296x216.jpg
20190504,普陀,真光,真光七街坊 两年精装修一室一厅 小区中间位置 楼层佳,180万,真光七街坊  | 1室1厅 | 37平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-e3a0961f-a75b-4df5-94ab-1c584aad44c2.jpg.296x216.jpg
20190504,普陀,真光,小户型总价低，适合刚需客户入手，房子随时好看,358万,阳光威尼斯(三期)  | 1室2厅 | 75.45平米 | 南 西 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-e56c0f58-e7b9-4968-97e2-2ecdceedf5e5.jpg.296x216.jpg
20190504,普陀,真光,本房属商品房。房子南北套，厨卫厅房全明，房主自荐,258万,真光第四小区  | 1室1厅 | 52.06平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-5cf62d91-85d7-47cc-bc10-459a1de56424.png.296x216.jpg
20190504,普陀,真光,中环边 一室一厅 中间楼层 商圈繁华,250万,真光新秀  | 1室1厅 | 50.81平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-60c3c383-cc62-41a4-bf65-b1873446efbf.png.296x216.jpg
20190504,普陀,真光,清涧四街坊 2室1厅 330万,330万,清涧四街坊  | 2室1厅 | 73.31平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-cc6727b1-141e-4d3f-a6b7-8f56fb69b582.png.296x216.jpg
20190504,普陀,真光,卧室朝南，采光很好，通透也强！小区位置好,220万,真光新村第五小区  | 1室1厅 | 47.29平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-1d26da80-d8bd-473a-b6c4-204718f230ad.jpg.296x216.jpg
20190504,普陀,真光,一梯两户 通透格局南北两房 楼层佳 采光好 诚意出售,295万,香樟苑(普陀)  | 2室1厅 | 67.26平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-e4b4e8bd-15af-47b8-9b0b-a03cc9e75e66.jpg.296x216.jpg
20190504,普陀,真光,真光八街坊 一房一厅 一梯两户 精装修 楼层好 采光佳,253万,真光八街坊  | 1室1厅 | 49.7平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-b5103e98-c4df-41f2-b848-577bf260c8bf.jpg.296x216.jpg
20190504,普陀,真光,近中环 小两房 税费少 配套齐全,245万,真光九街坊  | 2室1厅 | 53.81平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-1aa49dbe-f8c6-4349-8860-79b3e3445abd.jpg.296x216.jpg
20190504,普陀,真光,低总价小两房 一楼带天井 使用面积大 商圈成熟,250万,真光新村第二小区  | 2室1厅 | 54.89平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-1629b889-2363-4a1f-8fa4-b70efd8e43ee.jpg.296x216.jpg
20190504,普陀,真光,中间楼层，采光很棒，无遮挡！总价低，适合刚需客户,260万,清涧二街坊  | 2室1厅 | 57.63平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-98f056ff-3159-4c52-8882-44e130ba0426.jpg.296x216.jpg
20190504,普陀,真光,清涧四街坊 2室1厅 330万,330万,清涧四街坊  | 2室1厅 | 69.16平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-24e84d0d-b2a8-4562-a5df-cd5d0065bbcd.jpg.296x216.jpg
20190504,普陀,真光,真光八街坊 一房一厅 一梯两户 中装修 楼层好 采光佳,249万,真光八街坊  | 1室1厅 | 49.9平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-a269a0da-9ef5-4e8e-99e2-934fb28e92c9.jpg.296x216.jpg
20190504,普陀,真光,阳光威尼斯(三期) 2室2厅 450万,450万,阳光威尼斯(三期)  | 2室2厅 | 94.28平米 | 南 北 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-3040ea65-871c-4c0b-8020-a1dbf5c352e1.jpg.296x216.jpg
20190504,普陀,真光,真光七街坊 小户型 精装修 楼层好 采光充沛,205万,真光七街坊  | 1室1厅 | 41.69平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-32704d4e-1ae8-4d28-a39f-6b84ee2445c1.jpg.296x216.jpg
20190504,普陀,真光,清涧八街坊 1室1厅 170万,170万,清涧八街坊  | 1室1厅 | 39.66平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-3355bd2d-a0b7-4ff6-9b05-edfcf1f1839b.jpg.296x216.jpg
20190504,普陀,真光,阳光威尼斯(二期) 2室2厅 490万新上,490万,阳光威尼斯(二期)  | 2室2厅 | 106.54平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-25270488-8ae5-4055-b167-f9f5174ce78b.jpg.296x216.jpg
20190504,普陀,真光,诚意出售+一梯两户+双南户型+置顶层采光好+配套全,305万,真光八街坊  | 2室1厅 | 65平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-7ca4f2b8-ebc5-44e0-8e7b-c4002f8cf749.png.296x216.jpg
20190504,普陀,真光,真光八街坊 双南两房 房型正气 采光好 诚意出售,300万,真光八街坊  | 2室1厅 | 65.6平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-f8f24e6a-689e-4ed7-aa1f-979382082c31.jpg.296x216.jpg
20190504,普陀,真光,满五年唯一，南北通边套客厅带窗户的，1梯2户，急售,215万,真光新村第五小区  | 1室1厅 | 49.69平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-c76237c1-023f-41ee-ae35-e00ea4b27a5c.jpg.296x216.jpg
20190504,普陀,真光,一梯两户，得房率高！两房朝南，采光通风无遮挡,300万,昆仑花苑  | 2室1厅 | 71.12平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-0ab9bc71-b79c-4aa4-8971-6302ada33b17.jpg.296x216.jpg
20190504,普陀,真光,正规1房  总价低  中间楼层  无遮挡   随时看房,180万,真光九街坊  | 1室0厅 | 37.48平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-7188f9ce-139b-4e4d-bfbc-638bd64c58aa.png.296x216.jpg
20190504,普陀,真光,真光九 居家一房 可改两房 户型方正,215万,真光九街坊  | 1室1厅 | 49.9平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-d2c5c9ab-b973-4806-a643-3fd00f7d7a2f.jpg.296x216.jpg
20190504,普陀,真光,电梯房，高楼层！双南户型，采光好！,370万,清涧三街坊  | 2室1厅 | 83.65平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-ba9f5d3a-c6d4-4943-9670-a3435ce291da.jpg.296x216.jpg
20190504,普陀,真光,近中环 低总价 小一房 楼层佳 视野好 配套全,185万,真光新村第二小区  | 1室0厅 | 37.73平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-ad403227-66c7-468d-9d3a-446aa87d9b6f.jpg.296x216.jpg
20190504,普陀,真光,一梯两户 双南两房 楼层好 近小区入口 采光好,328万,清涧六街坊  | 2室1厅 | 66.61平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20170216/b2ab863c-03df-4d5e-b6db-83daa0c1d74f.jpg.296x216.jpg
20190504,普陀,真光,真情公寓 精装复式 交通便利 配套好 房东诚意出售房主自荐,870万,真情公寓  | 3室2厅 | 143.65平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/shfdfs-image/20180115/303903c6-65c0-433e-ac26-467f3021aae3.jpg.296x216.jpg
20190504,普陀,真光,真光第四小区，房型正气 三居拎包入住 房东诚意出售,400万,真光第四小区  | 3室1厅 | 89.7平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20171112/636ea145-ea8b-4aba-8803-bc0c2306fcbb.jpg.296x216.jpg
20190504,普陀,真光,海普苑 高档小区  近中环百联，乐购，梅川步行街,680万,海普苑  | 2室2厅 | 106.38平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/shfdfs-image/20170514/5d91006b-8ed4-4bc3-bb3c-3897258785e0.jpg.296x216.jpg
20190504,普陀,真光,急售 房东已经看好房子 真光片区少有三房 中间楼层,480万,真光新村  | 3室1厅 | 92.74平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20170602/8b290dcf-6fcf-427e-8258-ad2df842476d.jpg.296x216.jpg
20190504,普陀,真光,品质小区房东置换诚心出售南北两房,540万,中鼎豪园  | 2室1厅 | 97平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/shfdfs-image/20171109/103f5f8d-4b8f-44e5-90d9-120454559461.jpg.296x216.jpg
20190504,普陀,真光,普陀区别墅，总价低，边套别墅，有院子，业主诚意出售,1280万,阳光威尼斯(四期)(别墅)   | 联排别墅 | 4室2厅 | 184平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/d31e4c6c-6827-4d44-bfb8-91202229847a.jpg.296x216.jpg
20190504,普陀,真光,装修时间两年装修花费300万面积大总共3层花园面积大,1800万,阳光威尼斯(四期)(别墅)   | 联排别墅 | 5室3厅 | 249平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20171114/bc2485cb-1e72-4a92-9a05-8b359dd07a2a.jpg.296x216.jpg
20190504,普陀,真光,房子满五年唯一，税费低，四期洋房带电梯 一梯两户,730万,阳光威尼斯(四期)(公寓)  | 3室2厅 | 135.96平米 | 南 北 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/51b06bf2-cdd0-465b-a751-6b64ef0eac59.jpg.296x216.jpg
20190504,普陀,真光,阳光威尼斯(二期) 3室2厅 650万,650万,阳光威尼斯(二期)  | 3室2厅 | 130.99平米 | 南 北 | 毛坯 | 有电梯,https://image1.ljcdn.com/310000-inspection/416d5ce5-fbbf-4934-8f87-f323c0b81c62.jpg.296x216.jpg
20190504,普陀,真光,南北两房， 全明 一梯两户  高档小区,530万,中鼎豪园  | 2室2厅 | 95.66平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/24be1bb4-d7ce-4118-aad8-9752e52ba158.jpg.296x216.jpg
20190504,普陀,真光,急售！！！精装双南两房，一梯两户楼层佳，房东自住,330万,真光新秀  | 2室1厅 | 65.7平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20170228/3581f8c4-1347-470d-87b7-318a7b25d8ae.jpg.296x216.jpg
20190504,普陀,真光,双南户型 精装 中楼层 一梯两户 适合多数客户需求,380万,真光第四小区  | 2室1厅 | 73.22平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20180110/54112a3b-697a-4db0-bdda-3fe6b649f017.jpg.296x216.jpg
20190504,普陀,真光,一梯两户，南北两房，南北通透。,330万,清涧四街坊  | 2室2厅 | 69.16平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20170314/7bea75d3-8f71-475a-b48e-5a98297f1d4e.jpg.296x216.jpg
20190504,普陀,真光,一梯二户，采光好，简装，户型好，楼层佳，诚意急售,226万,真光八街坊  | 1室1厅 | 49.5平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/5f2f867a-a748-4bf4-b8a4-05f128657d55.jpg.296x216.jpg
20190504,普陀,真光,户型正气，全明格局，采光充足，诚意出售房主自荐,345万,香樟苑(普陀)  | 3室1厅 | 83.69平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/45412f14-e615-46d8-9550-196cbc8f2f5f.jpg.296x216.jpg
20190504,普陀,真光,拎包入住+业主诚心+采光好+楼层宽阔+已改小三房房主自荐,440万,阳光威尼斯AB区  | 2室2厅 | 91.4平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/rsp_pic_uploadef95a0d7-b1bf-456c-bc30-2bf4004ae0ca.jpg.296x216.jpg
20190504,普陀,真光,利群医院旁 楼层佳，小户型 总价低。,280万,清涧七街坊  | 2室1厅 | 61.3平米 | 西南 | 简装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20180124/44efc54a-53ef-412c-b739-7c71becbe51f.jpg.296x216.jpg
20190504,普陀,真光,急售 上海家园 高区视野采光好 50万装修 位置安静,570万,上海家园  | 2室2厅 | 95平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/beadf15f-30c8-4277-83fb-5fae6bafdb0d.jpg.296x216.jpg
20190504,普陀,真光,一体两户，商品房，园林式住宅，底层符合三代同堂！,500万,昆仑花苑  | 3室2厅 | 117平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20170621/548b66d9-f03a-406d-9da2-0338dde7345b.jpg.296x216.jpg
20190504,普陀,真光,清涧六街坊 3室1厅 310万,310万,清涧六街坊  | 3室1厅 | 71.21平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/4878c587-2002-43d0-b3a0-dd1f59128f57.jpg.296x216.jpg
20190504,普陀,真光,双南户型，户型正气，楼层采光好，看房方便,275万,清涧二街坊  | 2室1厅 | 63.52平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20160602/89337cab-c933-448c-81d6-aecf78955b3b.jpg.296x216.jpg
20190504,普陀,真光,楼层好，1梯2户，采光好，全明户型，诚意急售,358万,真光六小区  | 2室1厅 | 68.4平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/85ef816d-a18a-442b-9317-527f243bfd43.jpg.296x216.jpg
20190504,普陀,真光,中鼎豪园 3室2厅 720万,720万,中鼎豪园  | 3室2厅 | 124.69平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/50de683c-fe03-4d46-a807-f53608b1ba7f.jpg.296x216.jpg
20190504,普陀,真光,一梯两户+双南双阳台+采光好+非顶楼+双轨交通+单价低,320万,香樟苑(普陀)  | 2室1厅 | 74.95平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20170214/7ed2d3b4-4a7e-489e-a08c-aba99b259267.jpg.296x216.jpg
20190504,普陀,真光,顶楼复式，使用面积大，带露台，采光好，诚意急售,530万,昆仑花苑  | 4室2厅 | 110.68平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20170714/b36cf5c4-b763-4171-a266-02584f7437e9.jpg.296x216.jpg
20190504,普陀,真光,正规1房 中间位置 采光好 诚意出售 近百联 随时看,210万,真光九街坊  | 1室1厅 | 48.65平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20170214/a14bd71b-f8c1-4c04-8378-3de7c8c95009.jpg.296x216.jpg
20190504,普陀,真光,户型方正，南北通三房，业主诚心出售,570万,阳光威尼斯(二期)  | 3室2厅 | 126.32平米 | 南 北 | 毛坯 | 有电梯,https://image1.ljcdn.com/shfdfs-image/20160202/3a57e9bc-dd19-4d56-9b89-bf27f0fe4050.jpg.296x216.jpg
20190504,普陀,真光,清涧三街坊 2室1厅 395万,395万,清涧三街坊  | 2室1厅 | 79.12平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/shfdfs-image/20160821/1b4d59a2-fcc8-4273-812e-7ce81d81bb1c.jpg.296x216.jpg
20190504,普陀,真光,清涧六街坊 2室1厅 265万,265万,清涧六街坊  | 2室1厅 | 54平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20170311/32f01e26-2fda-4fe1-8713-63a1f13d53b0.jpg.296x216.jpg
20190504,普陀,真光,真光八街坊 户型方正 采光好 诚意出售,240万,真光八街坊  | 1室1厅 | 50.11平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20170322/dc636609-5b6b-4035-b5ea-11c5c3e31faf.jpg.296x216.jpg
20190504,普陀,真光,顶楼复式 小区中间 高楼景观房 无遮挡 品质好 随时看,730万,上海家园  | 3室2厅 | 143.48平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20170724/233849cf-cd7f-40da-bde9-ad480c5c911c.jpg.296x216.jpg
20190504,普陀,真光,清涧七街坊 2室1厅 295万,295万,清涧七街坊  | 2室1厅 | 59.02平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20171112/224822cc-62a1-400d-aea8-f1208e844731.jpg.296x216.jpg
20190504,普陀,真光,真情公寓 2室2厅 630万,630万,真情公寓  | 2室2厅 | 97.46平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/shfdfs-image/20171211/220c324d-e84c-4bf1-8729-690811c10255.jpg.296x216.jpg
20190504,普陀,真光,房东诚心出售，一体两户双南户型，阳光充足，改3房房主自荐,390万,昆仑花苑  | 2室2厅 | 101.5平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20180104/3af7316b-8775-41e2-9072-6939dca298a2.jpg.296x216.jpg
20190504,普陀,真光,产权清晰  两室一厅  户型方正   房东诚意出售,280万,真光六小区  | 2室1厅 | 59.64平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20161127/c34659c9-ae76-4774-961f-965c895cfe46.jpg.296x216.jpg
20190504,普陀,真光,小区少有东北户型  高温期不直晒 视野宽阔 一梯四户,310万,真光新村第五小区  | 2室1厅 | 66平米 | 东南 | 简装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20170328/636c10ec-9436-4929-b2d6-b5c5227da9fd.jpg.296x216.jpg
20190504,普陀,真光,急售房东已经看好房子 高区景观房 顶层复式带产权车位,688万,上海家园  | 3室2厅 | 147.42平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/9f11acf2-e6e9-4312-8d51-b2c4f0ac4077.jpg.296x216.jpg
20190504,普陀,真光,低总价一房 一梯四户 视野开阔 商圈成熟,220万,真光新村第二小区  | 1室1厅 | 46.48平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20151029/1350e1ee-23b5-48c7-9546-c19d68c85880.jpg.296x216.jpg
20190504,普陀,真光,商品房 两房一厅 一梯两户 近中环 商圈成熟,450万,真光新村第二小区  | 2室1厅 | 92.88平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20170507/18d15f1d-1a65-436d-b11d-0e1fd0e1453b.jpg.296x216.jpg
20190504,普陀,真光,真光十小区 1室1厅 260万,260万,真光十小区  | 1室1厅 | 47.03平米 | 南 | 其他 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20170112/2c3091fd-a805-4de4-8cad-873490cab01d.jpg.296x216.jpg
20190504,普陀,真光,中间楼层，精装修，一房一厅，看房方便，价格可谈,218万,真光七街坊  | 1室1厅 | 42.95平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/16699b69-e067-4823-b372-d9cdf7003dfe.jpg.296x216.jpg
20190504,普陀,真光,一梯三户，中间楼层，全明户型，配套齐全，满五唯一房主自荐,318万,真光新村  | 2室1厅 | 60.95平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/254fa0db-49e3-44b9-97a4-df4a62190442.jpg.296x216.jpg
20190504,普陀,真光,中间楼层+满五唯一+价格可谈+看房方便,265万,真光十小区  | 2室1厅 | 61.94平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/14369a00-2897-45cc-9e2c-f7fdb8bb1dd8.jpg.296x216.jpg
20190504,普陀,真光,清涧七街坊 2室1厅 315万,315万,清涧七街坊  | 2室1厅 | 64.68平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/27114fbd-d2ac-427a-be55-3a291d5cfa0a.jpg.296x216.jpg
20190504,普陀,真光,真光八街坊 1室1厅 240万,240万,真光八街坊  | 1室1厅 | 50平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/9d23e3bc-ef9e-42fa-bc84-3620f5de7def.jpg_600x450.jpg.296x216.jpg
20190504,普陀,真光,一梯二户，采光好，满五年唯一 ，方正格局,310万,真光六小区  | 2室1厅 | 62.37平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/rsp_pic_upload6ccfdf5f-2740-437f-a7b0-3dddb331cca3.jpg.296x216.jpg
20190504,普陀,真光,踏破铁鞋无好房 好房就在真光二街坊 低总价 诚心,226万,真光新村第二小区  | 2室1厅 | 56.47平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/7442ee58-677f-4b35-987d-681586d2c096.jpg.296x216.jpg
20190504,普陀,真光,阳光威尼斯C区 2室1厅 365万,365万,阳光威尼斯C区  | 2室1厅 | 77.52平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/rsp_pic_upload5bafc8e2-562e-4fbd-a1a1-bdc5288d05f5.jpg.296x216.jpg
20190504,普陀,真光,清涧八街坊  小户型 总价低 单价低 采光好  配套成熟,154万,清涧八街坊  | 1室1厅 | 39.66平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/rsp_pic_uploaded9e9749-050e-4234-9a9e-26c48b61a654.jpg.296x216.jpg
20190504,普陀,真光,南北通透 全明户型 中高楼层 满五唯一 诚心出售价可谈,510万,阳光威尼斯(二期)  | 2室2厅 | 116.25平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/rsp_pic_uploadf1b52547-380e-4941-99a3-cb5d980a6cc1.jpg.296x216.jpg
20190504,普陀,真光,近中环 婚装两房 南北通透 诚意出售 价格可谈,305万,真光十小区  | 2室1厅 | 70.22平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/5cf0bc64-2184-4700-b747-186fd80eff26.jpg.296x216.jpg
20190504,普陀,真光,此房满五年唯一南北户型一梯两户 视野宽阔采光充足,230万,清涧七街坊  | 1室1厅 | 47.41平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20170604/e82528c9-e8dc-4c59-a254-fa6113df83b2.jpg.296x216.jpg
20190504,普陀,真光,清涧四街坊 2室1厅 360万,360万,清涧四街坊  | 2室1厅 | 71.5平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/rsp_pic_upload749757b5-dc69-4ef3-9c2d-b2523c9a0241.jpg.296x216.jpg
20190504,普陀,真光,真光九街坊 1室1厅 180万,180万,真光九街坊  | 1室1厅 | 37.73平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/640af0d4-80b9-4f31-bf96-38b21c4c35f8.jpg.296x216.jpg
20190504,普陀,真光,阳光威尼斯(三期) 2室2厅 390万,390万,阳光威尼斯(三期)  | 2室2厅 | 90.49平米 | 东 西 | 毛坯 | 有电梯,https://image1.ljcdn.com/x-se/hdic-frame/64c019c3-e495-4909-b91a-d0edeed09be6.png.280x210.jpg
20190504,普陀,真光,真光八街坊一房一厅一梯两户 简单装修 楼层好采光佳,250万,真光八街坊  | 1室1厅 | 49.9平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/800c4e06-87d0-4a5c-bdb7-2859193e35ed.jpg.296x216.jpg
20190504,普陀,真光,简装一房 低总价 近中环百联 商圈成熟新上,185万,真光九街坊  | 1室1厅 | 45.24平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/6f4bf87f-a97f-42f2-9b5e-a81c728059ac.jpg.296x216.jpg
20190504,普陀,真光,边套全明格局 客朝东 东南北双通透 楼层适中,310万,真光八街坊  | 2室1厅 | 60.16平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20170708/3a51a475-b649-44b7-8163-4c3187ec3116.jpg.296x216.jpg
20190504,普陀,真光,南北通透  错层  通透大三房 中高楼层 满五年唯一,645万,阳光威尼斯(二期)  | 3室2厅 | 131平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/c2fae4f1-2db5-47fe-a2b5-158e1233fde9.jpg.296x216.jpg
20190504,普陀,真光,小区景观位置 户型方正 提前预约看房 税少,525万,阳光威尼斯(三期)  | 3室2厅 | 113.49平米 | 东南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/c0b516ab-3c96-4aa1-a551-2b04ab842b9a.jpg.296x216.jpg
20190504,普陀,真光,真光二 一楼 带天井 精装修 诚意出售 没户口价格可谈,178万,真光新村第二小区  | 1室1厅 | 35.51平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/d24bfae3-5f2c-4b10-b775-49e10b4a06cd.jpg.296x216.jpg
