20190504,浦东,陆家嘴,电梯房高区全南全明户型，一手售后公房，满五年唯一,568万,东园一村  | 2室1厅 | 69平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-aa0019ca-33fc-4826-b4ac-be096a43474c.jpg.296x216.jpg
20190504,浦东,陆家嘴,约我随时看房 装修保养好 南北两房 中间楼层,327万,东南新村(浦东)  | 2室0厅 | 49.71平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-79f0bc06-a313-4885-8509-28f9a90a3e5e.jpg.296x216.jpg
20190504,浦东,陆家嘴,东园二村 2室1厅 410万,410万,东园二村  | 2室1厅 | 52.05平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-68dc1751-ab66-4458-a325-f753f68231b1.jpg.296x216.jpg
20190504,浦东,陆家嘴,地中海精装；中间楼层，看房方便；诚意出售 产权清晰,450万,崂山五村  | 2室1厅 | 61.64平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-3f0e16dd-96f7-4d4d-9162-575956ef830b.jpg.296x216.jpg
20190504,浦东,陆家嘴,86年房龄，南北两房，近陆家嘴板块，出入方便,380万,崂山二村  | 2室1厅 | 56.58平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-186c5572-3159-42dd-b694-040a1617a422.jpg.296x216.jpg
20190504,浦东,陆家嘴,业主诚意出售  随时看房  陆家嘴内环内  中间楼层,260万,兰园小区  | 1室0厅 | 34.63平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-aabdd30d-13b6-4d43-8f64-5dd95e478747.jpg.296x216.jpg
20190504,浦东,陆家嘴,东园一村，业主急卖，保养好的两房。,380万,东园一村  | 2室0厅 | 50平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-c1897cd7-ab25-4c66-a2c0-77a8e1dabc55.png.296x216.jpg
20190504,浦东,陆家嘴,东园四村 2室1厅 518万,518万,东园四村  | 2室1厅 | 57.22平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-7381f683-f0da-4fa5-ac89-711c521af269.png.296x216.jpg
20190504,浦东,陆家嘴,业主是我老客户，看房有钥匙，满五年，售后公房！,300万,东明新村  | 2室1厅 | 50.28平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-436785af-3292-4569-a684-cfe3ab12a9e0.jpg.296x216.jpg
20190504,浦东,陆家嘴,陆家嘴地段，精装带地暖1房，采光好通风好，视野开阔,360万,东园四村  | 1室1厅 | 36.04平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-be4171dc-abfc-4b7f-84c2-41b22118e285.jpg.296x216.jpg
20190504,浦东,陆家嘴,内环内，通透2房，售后公房，税费少，中楼层,380万,张杨路370弄  | 2室1厅 | 51.99平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-858fd09d-7242-4333-9254-d79ebf4fb25b.jpg.296x216.jpg
20190504,浦东,陆家嘴,陆家嘴全南两房，高区视野好，满五唯一，诚意卖房主自荐,360万,张杨路370弄  | 2室1厅 | 49.89平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-1d1f7137-0db7-4d20-992e-0165d545331d.jpg.296x216.jpg
20190504,浦东,陆家嘴,陆家嘴靠地铁 满五唯一 税费低 装修好 88年 好贷款,440万,崂山二村  | 3室1厅 | 65.43平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-4a69e0e0-926d-40c2-85c4-fab8ed25c99b.png.296x216.jpg
20190504,浦东,陆家嘴,陆家嘴 双南小户型，业主诚售随时看,458万,东园二村  | 2室1厅 | 56.57平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-102421ef-2732-43f3-b8bd-a43606fac103.png.296x216.jpg
20190504,浦东,陆家嘴,崂山新村 紧靠浦东大道地铁口 3楼 业主置换新房 急卖,310万,崂山新村  | 1室1厅 | 46.09平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-e7285e33-451a-4eeb-bdf3-ff96bbaae4e8.png.296x216.jpg
20190504,浦东,陆家嘴,崂山新村 1室1厅 270万,270万,崂山新村  | 1室1厅 | 37平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-5299e6da-c50d-4061-a9e2-20767ca69543.png.296x216.jpg
20190504,浦东,陆家嘴,精装修，中间位置，中间楼层，看房方便，出门是地铁,220万,崂山四村  | 1室1厅 | 31.85平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-f159b012-59f6-4846-9ed2-30675a309ab0.jpg.296x216.jpg
20190504,浦东,陆家嘴,陆家嘴地段  2房朝南带阳台 明户型 楼层好满5年唯一,255万,东明新村  | 2室0厅 | 43.41平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-3692f5cc-5df6-4033-84e5-0a33de129faf.png.296x216.jpg
20190504,浦东,陆家嘴,荣成路41弄 2室1厅 460万,460万,荣成路41弄  | 2室1厅 | 60.28平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-0c23b47b-ddfc-43a8-9751-521bdc44f4ff.png.296x216.jpg
20190504,浦东,陆家嘴,满五唯一无费用 物业管理好   新电梯  业主急售,380万,爱建大楼  | 2室0厅 | 55.85平米 | 东 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-ccd9602d-0f53-4277-951b-b38f2d51b6e6.jpg.296x216.jpg
20190504,浦东,陆家嘴,价格优惠！楼层佳！地处陆家嘴板块，生活便利！,251万,谢家宅小区  | 1室0厅 | 32.24平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-53c1c5eb-ecc1-49ae-a39e-9a3bfd2fc79b.jpg.296x216.jpg
20190504,浦东,陆家嘴,陈家宅小区(潍坊西路) 1室1厅 450万,450万,陈家宅小区(潍坊西路)  | 1室1厅 | 58.33平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-19ab5d16-d3b6-4780-9278-4de2bec8d3ca.jpg.296x216.jpg
20190504,浦东,陆家嘴,三航小区 2室0厅 470万,470万,三航小区  | 2室0厅 | 56.31平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-ead2b9c9-f5fa-418b-8bf2-58f922d5ffe2.jpg.296x216.jpg
20190504,浦东,陆家嘴,五月好房+有天井+小区中间位置+税费少,230万,东明新村  | 2室1厅 | 33.48平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-b9127a1f-34a8-45f4-b988-db1e88e5489f.jpg.296x216.jpg
20190504,浦东,陆家嘴,房东诚意出售，到价签字，付款方式好价格可以谈。,350万,东昌新村  | 1室1厅 | 39.68平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-5e088da2-6cec-481a-9477-96b8c458765a.png.296x216.jpg
20190504,浦东,陆家嘴,东园急售南向大一房，装修好，税费低，视野宽阔,405万,东园二村  | 1室1厅 | 52.05平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-70ccd44d-a939-46e6-8b78-c78403e6e672.png.296x216.jpg
20190504,浦东,陆家嘴,一楼带天井，业主急卖，交通便利，看房方便，价格可谈,257万,兰园小区  | 1室0厅 | 35.13平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-7103d800-17b6-4b89-9bb1-3fedf2a1f165.jpg.296x216.jpg
20190504,浦东,陆家嘴,东园一村 1室1厅 300万,300万,东园一村  | 1室1厅 | 32.75平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-55223fed-f15a-4a86-aad9-a644ce91b0ae.jpg.296x216.jpg
20190504,浦东,陆家嘴,陆家嘴精装两房，业主置换出售，价格可谈，满五税少,388万,东园一村  | 2室0厅 | 44.67平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-1828df32-9ab1-4f3e-94bd-ee6d54f73e13.jpg.296x216.jpg
20190504,浦东,陆家嘴,中间楼层 精装一房 地铁边 陆家嘴繁华地段 好看房,330万,三航小区  | 1室1厅 | 40.27平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-05878670-455b-4f6d-b76c-922cdf829ad0.png.296x216.jpg
20190504,浦东,陆家嘴,售后公房免增值税，满五唯一免个税，业主自住诚意卖,400万,东园二村  | 2室0厅 | 52.02平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-4891685d-fdd9-4649-aa36-71a86b38cab2.png.296x216.jpg
20190504,浦东,陆家嘴,陆家嘴加滨江双绝板块 87年龄陆家嘴散步上班 好出租,265万,荣成小区  | 1室1厅 | 30.06平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-78bcacef-ddeb-4e25-8c5c-ca3e0cbb4196.jpg.296x216.jpg
20190504,浦东,陆家嘴,浦东大道435-437号(单) 2室1厅 280万,280万,浦东大道435-437号(单)  | 2室1厅 | 43.2平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-c32de6b0-0acb-44a7-9806-9b2fc5941d36.png.296x216.jpg
20190504,浦东,陆家嘴,汤臣商务住宅产权一房，诚意出售，看房方便,310万,汤臣商务中心  | 1室1厅 | 46.15平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-f52debcb-8dbf-4f67-b945-ec96a23f456d.png.296x216.jpg
20190504,浦东,陆家嘴,崂山新村 2室1厅 295万,295万,崂山新村  | 2室1厅 | 44.25平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-082ee6ec-34cf-4101-b585-60ee255be52a.jpg.296x216.jpg
20190504,浦东,陆家嘴,天后宫大楼 2室1厅 480万新上,480万,天后宫大楼  | 2室1厅 | 68.08平米 | 南 | 其他 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-adeecdb8-350b-44d4-88d1-909cb34ef165.jpg.296x216.jpg
20190504,浦东,陆家嘴,陆家嘴精装双南2房，位置安静，好楼层，随时看房新上,379万,乳山四村  | 2室1厅 | 47.5平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-d5761c67-a12d-487d-9d7d-77e1d3aafb06.jpg.296x216.jpg
20190504,浦东,陆家嘴,正气三房，总价低，有露台可以用，满五年唯一税少,1639万,世茂滨江花园  | 3室2厅 | 228.68平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/shfdfs-image/20171118/a79afed8-cf7f-4f62-92d8-cf5eca76d88c.jpg.296x216.jpg
20190504,浦东,陆家嘴,房型方正，双主卧朝南，书房南北窗，正对三期花园,2405万,仁恒滨江园  | 4室2厅 | 232.68平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/2d8427e1-2d87-484c-97e8-663930b61c0d.jpg.296x216.jpg
20190504,浦东,陆家嘴,东园四村房龄新，位置好，居家适宜，中间楼层，采光好,480万,东园四村  | 2室1厅 | 57.22平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20160507/50b5de0c-6d05-4546-9c1a-bb925d7dca03.jpg.296x216.jpg
20190504,浦东,陆家嘴,陆家嘴高区景观房，满五唯一，税费少,780万,京城大厦  | 3室2厅 | 125.19平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/shfdfs-image/20160817/55847dd0-075c-409f-b5a0-336a53fd19b1.jpg.296x216.jpg
20190504,浦东,陆家嘴,次顶楼视野开阔！一梯一户！满五唯一，全明户型！房主自荐,1156万,菊园  | 3室2厅 | 128.77平米 | 东南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/4c66341e-daa4-4f54-8f21-8db3ca7cda61.jpg.296x216.jpg
20190504,浦东,陆家嘴,小区中间位置，看小区花园，婚房装修,1550万,世茂滨江花园  | 2室2厅 | 174.61平米 | 西 | 精装 | 有电梯,https://image1.ljcdn.com/shfdfs-image/20170325/a665a292-8368-46b6-a29d-bfebb6c69137.jpg.296x216.jpg
20190504,浦东,陆家嘴,财富海景花园，次顶楼，大平层，欧式软装，法式配色！,1899万,财富海景花园  | 2室2厅 | 166.9平米 | 东 | 精装 | 有电梯,https://image1.ljcdn.com/shfdfs-image/20171118/84dd33a3-5e33-4edd-8cd5-769bef44f1e9.jpg.296x216.jpg
20190504,浦东,陆家嘴,财富海景花园 3室2厅 4600万,4600万,财富海景花园  | 3室2厅 | 339.98平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/shfdfs-image/20160713/5a82166c-7ecb-4e7a-92f6-5c88e776e065.jpg.296x216.jpg
20190504,浦东,陆家嘴,陆家嘴舒适三房，新装修，税费少，改善三房,1400万,汇豪天下  | 3室2厅 | 150.01平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/ea2ce693-f88d-4d1e-9b3e-2f6a04314285.jpg.296x216.jpg
20190504,浦东,陆家嘴,菊园 2室2厅 850万,850万,菊园  | 2室2厅 | 92.42平米 | 西 | 精装 | 有电梯,https://image1.ljcdn.com/shfdfs-image/20170621/7e219e92-dbdb-4397-bf6c-8e4ddee8e90a.jpg.296x216.jpg
20190504,浦东,陆家嘴,东明广场 产权住宅 145.41平 诚心出售,750万,东明广场  | 3室2厅 | 145.41平米 | 暂无数据 | 毛坯 | 有电梯,https://image1.ljcdn.com/shfdfs-image/20171121/1f283a8b-3ed0-41eb-8cad-3ede5536bac7.jpg.296x216.jpg
20190504,浦东,陆家嘴,爱建大楼 2室1厅 380万,380万,爱建大楼  | 2室1厅 | 55.85平米 | 东 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/rsp_pic_upload847a0dd7-b264-4624-9257-c595e01fa275.jpg.296x216.jpg
20190504,浦东,陆家嘴,陆家嘴滨江，配套齐全，全南两房，业主诚意，随时看房,480万,东港公寓  | 2室1厅 | 69.6平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/4adf47d3-4ac3-465d-8649-eb92313eb43a.jpg.296x216.jpg
20190504,浦东,陆家嘴,朝南户型、精装修自住保养好，置换房东诚意出售,850万,京城大厦  | 3室2厅 | 127.29平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/shfdfs-image/20160815/8e07502e-65eb-46c3-939c-aaf2d17fb11b.jpg.296x216.jpg
20190504,浦东,陆家嘴,一楼稀有带花园， 朝南户型，采光好！,1100万,菊园  | 3室2厅 | 125.32平米 | 暂无数据 | 精装 | 有电梯,https://image1.ljcdn.com/shfdfs-image/20171214/68a65b23-cb18-4096-8821-7f6a33bcd82f.jpg.296x216.jpg
20190504,浦东,陆家嘴,五一好房+新鸿基打造+一线沿江住宅+干挂石材,1710万,滨江凯旋门  | 2室1厅 | 135.6平米 | 东南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/c7b76aab-657a-443a-b158-af1397383d36.JPG.296x216.jpg
20190504,浦东,陆家嘴,滨江凯旋门 3室2厅 3350万,3350万,滨江凯旋门  | 3室2厅 | 235.89平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/shfdfs-image/20160921/44ecad1e-244c-42c8-930e-76e133f47ace.jpg.296x216.jpg
20190504,浦东,陆家嘴,财富诚售 方正三房 高区视野佳 可看外滩,2480万,财富海景花园  | 3室2厅 | 253.78平米 | 西南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/65302a4e-90a6-43c4-8290-9c582804ec1f.jpg.296x216.jpg
20190504,浦东,陆家嘴,紫光大厦，157㎡三房在售，1030万、看房方便,1000万,紫光大厦  | 3室2厅 | 157.04平米 | 西北 | 精装 | 有电梯,https://image1.ljcdn.com/shfdfs-image/20151223/90e7d91f-743a-42ec-878c-59efa37a2bb2.jpg.296x216.jpg
20190504,浦东,陆家嘴,满五年唯一 看房提前预约 一楼不带花园,850万,百富达公寓  | 3室2厅 | 123.51平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/shfdfs-image/20170917/9754207d-6c06-4729-8ea3-706d9b564ee4.jpg.296x216.jpg
20190504,浦东,陆家嘴,盛大金磐高区稀有房源，圆弧客厅，陆家嘴江景尽收眼底房主自荐,3100万,盛大金磐  | 3室2厅 | 302.13平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/7f2be981-1af6-4b73-81b4-4bb3ff79aae2.jpg.296x216.jpg
20190504,浦东,陆家嘴,业主诚意出售，看小区花园，江景，看房方便。,2400万,财富海景花园  | 3室2厅 | 253.78平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/shfdfs-image/20170318/9aedaa4a-fcb9-4231-b5f5-aeb65c387970.jpg.296x216.jpg
20190504,浦东,陆家嘴,小区唯一朝南看全江景的小三房，陆家嘴地段，园林小区,1550万,仁恒滨江园  | 3室2厅 | 122.1平米 | 西 | 精装 | 有电梯,https://image1.ljcdn.com/shfdfs-image/20171015/379fd797-e398-4b06-b087-93d9a8501b52.jpg.296x216.jpg
20190504,浦东,陆家嘴,随时可签 大平层 进口装修材料 税少 带车位！,1470万,世茂滨江花园  | 2室2厅 | 162.7平米 | 西 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/rsp_pic_upload76bbf896-8383-4c7c-8b37-829a24cf602d.jpg.296x216.jpg
20190504,浦东,陆家嘴,菊园朝南大三房，业主置换出售，看房方便,1230万,菊园  | 3室2厅 | 140.95平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/shfdfs-image/20170621/48398210-93b8-47bf-88f4-62c788801a80.jpg.296x216.jpg
20190504,浦东,陆家嘴,世茂在售大两房、09年次新房、业主置换诚售！,1681万,世茂滨江花园  | 2室2厅 | 183.15平米 | 西 | 精装 | 有电梯,https://image1.ljcdn.com/shfdfs-image/20161210/d9bbed71-4d6a-4af6-af0f-2591f65184db.jpg.296x216.jpg
20190504,浦东,陆家嘴,居家小区 南北通三房 房型正 高区采光佳 精装可拎包,1250万,江临天下  | 3室2厅 | 139.78平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/5c94802f-9e24-4a6d-a75d-abe315f8ad7e.jpg.296x216.jpg
20190504,浦东,陆家嘴,上海业主诚意售房，急卖三房，单价4.9万，无个税,780万,紫光大厦  | 3室2厅 | 157.16平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/5b746471-1016-4215-9385-893c6b00e28f.jpg.296x216.jpg
20190504,浦东,陆家嘴,绿荫围绕，天然氧吧，房型明朗正气，景色撩人。房主自荐,2150万,仁恒滨江园  | 4室2厅 | 241.7平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/fc497aaf-972a-4f30-83c3-9384a6679739.jpg.296x216.jpg
20190504,浦东,陆家嘴,菊园景观房，满五唯一，三阳台，视野无遮挡，诚意。,1120万,菊园  | 3室2厅 | 125.08平米 | 北 东北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/2e563a89-425e-4bcc-be27-952cae18270d.jpg.296x216.jpg
20190504,浦东,陆家嘴,售后公房  税少 急售 价格可谈，看房方便，提前约房主自荐,335万,崂山三村  | 2室1厅 | 54.16平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/e2e14c5d-c0d0-408f-83b9-c5cb5f4f3f7e.jpg.296x216.jpg
20190504,浦东,陆家嘴,瑞苑公寓 1室1厅 720万,720万,瑞苑公寓  | 1室1厅 | 81.06平米 | 北 | 简装 | 有电梯,https://image1.ljcdn.com/shfdfs-image/20170304/25706302-6ac6-4df9-8c1b-096025f6f55a.jpg.296x216.jpg
20190504,浦东,陆家嘴,50万装修 70年产权 通燃气 水电民用 另有5套 有钥匙,700万,瑞苑公寓  | 1室1厅 | 81.39平米 | 北 | 精装 | 有电梯,https://image1.ljcdn.com/shfdfs-image/20161223/3e5fd4a5-5a47-47fa-a3b1-ae260057c8b9.jpg.296x216.jpg
20190504,浦东,陆家嘴,兰园小区 2室0厅 350万,350万,兰园小区  | 2室0厅 | 55.51平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/x-se/hdic-frame/daac3aad-ae6d-4fe9-bf37-87d0f6d5dc10.png.280x210.jpg
20190504,浦东,陆家嘴,世茂总价低一房，新装修物旷好、诚意出售看房随时,795万,世茂滨江花园  | 1室2厅 | 88平米 | 西 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/f45d3c3f-371c-43bd-978f-1cd93938e2b2.jpg.296x216.jpg
20190504,浦东,陆家嘴,中粮前排 一层一户 精装带地暖  看房方便,5000万,中粮海景壹号  | 5室2厅 | 388.58平米 | 西 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/9d7ed847-28df-4455-9042-291e1d141654.jpg.296x216.jpg
20190504,浦东,陆家嘴,久阳滨江公寓 4室1厅 950万,950万,久阳滨江公寓  | 4室1厅 | 139.64平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/868dedfd-97e3-42fe-bf4f-664a0b77e158.jpg.296x216.jpg
20190504,浦东,陆家嘴,高区看江，凯旋门品质两房，诚意出售,2000万,滨江凯旋门  | 2室2厅 | 144.56平米 | 西南 | 简装 | 有电梯,https://image1.ljcdn.com/shfdfs-image/20160329/34f28c48-5c32-4dab-8491-1198a098be76.jpg.296x216.jpg
20190504,浦东,陆家嘴,盛大金磐 3室2厅 2700万,2700万,盛大金磐  | 3室2厅 | 264.13平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/4629edb1-ac13-4813-be9a-bdc19bbafcc8.jpg.296x216.jpg
20190504,浦东,陆家嘴,陆家嘴通透大五房，户型方正，高区好景观，业主诚售,3400万,仁恒滨江园  | 5室2厅 | 327平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-d8482596-59a7-4d34-a52c-bbc99f95babe.jpeg.296x216.jpg
20190504,浦东,陆家嘴,次新房水晶宫，温馨大一房，置换诚意出售，局部带地暖,1050万,世茂滨江花园  | 1室2厅 | 93.08平米 | 西北 | 精装 | 有电梯,https://image1.ljcdn.com/shfdfs-image/20150704/82debf10-b4a0-4b8e-b1ff-4bf0b03d6c59.jpg.296x216.jpg
20190504,浦东,陆家嘴,陆家嘴小高层，房型正气，业主自住，保养好，方便看,930万,百富达公寓  | 4室2厅 | 151平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20171213/bf342c77-12a9-460e-9663-f511d6ffa9de.jpg.296x216.jpg
20190504,浦东,陆家嘴,旁边陆家嘴，离地铁近，户型好，朝向佳。,1380万,申金大厦  | 4室2厅 | 168.72平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/7d527441-ff36-491c-bebb-a80ab755ebc2.jpg.296x216.jpg
20190504,浦东,陆家嘴,业主去北京了 房子用不到 联系我 随时看房 满五年,275万,东南新村(浦东)  | 1室1厅 | 40.42平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/shfdfs-image/20170510/66f1e656-a5e7-4274-a194-745931451176.jpg.296x216.jpg
20190504,浦东,陆家嘴,满五唯一，地中海清新风，高区看江，视野开阔,600万,众鑫大厦  | 2室2厅 | 118.06平米 | 西 | 精装 | 有电梯,https://image1.ljcdn.com/shfdfs-image/20170814/1b910d65-9127-4697-8dfc-05e13800f0f9.jpg.296x216.jpg
20190504,浦东,陆家嘴,8号楼中高区H户型新出房，业主诚意出售，看房随时约,1280万,世茂滨江花园  | 2室2厅 | 132.17平米 | 西北 | 精装 | 有电梯,https://image1.ljcdn.com/shfdfs-image/20160510/b97958e9-ab9e-4cd0-94ec-426a3842b28d.jpg.296x216.jpg
20190504,浦东,陆家嘴,一线滨江，新鸿基品质小两房，诚意出售,1820万,滨江凯旋门  | 2室2厅 | 135.43平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/shfdfs-image/20170923/b084df0e-7e45-4d30-bee7-e405348cdf20.jpg.296x216.jpg
20190504,浦东,陆家嘴,滨江凯旋门大四方 套房设计 南北通 双阳台,3649万,滨江凯旋门  | 4室2厅 | 270.53平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/76c2796f-a0f3-42d1-a42c-ef99c4762940.jpg.296x216.jpg
20190504,浦东,陆家嘴,复式稀售，南北通，位置好，有车位，自住装修带地暖,2300万,江临天下  | 5室2厅 | 263.56平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/2510dc18-2e06-4338-ba61-295ee8ae3348.jpg.296x216.jpg
20190504,浦东,陆家嘴,70年住宅产权 2006年小区 保养好,630万,久阳滨江公寓  | 2室1厅 | 78.25平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/shfdfs-image/20170820/56b64d56-737b-4ec7-8863-14386c5926ea.jpg.296x216.jpg
20190504,浦东,陆家嘴,陆家嘴精装复式两房，房东耗费半年时间精心装修屋况佳,606万,久阳滨江公寓  | 2室1厅 | 78.25平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/ee76651d-0655-40de-a69c-71cce99c7595.jpg.296x216.jpg
20190504,浦东,陆家嘴,新鲜房源：房子中区正对小区冲浪沙滩、业主诚意出售！,1350万,世茂滨江花园  | 2室2厅 | 156.7平米 | 西 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/d8f136f5-715c-42fc-aefb-5d604aab2e47.JPG.296x216.jpg
20190504,浦东,陆家嘴,双卧朝南，高层三房户型东南向采光好270度观景阳台新上,2300万,财富海景花园  | 3室2厅 | 184.99平米 | 东南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/rsp_pic_upload8b546d0c-6909-4637-b38e-76cfb7f06cce.jpg.296x216.jpg
20190504,浦东,陆家嘴,一楼带露台，邻水而居，全南采光，满五唯一无个税。,975万,汇豪天下  | 2室2厅 | 88.93平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/shfdfs-image/20160619/4650bbbd-6340-48e9-83fe-b91849711b7a.jpg.296x216.jpg
20190504,浦东,陆家嘴,随时看房，全套家具，业主诚意出售,2100万,滨江凯旋门  | 2室2厅 | 135平米 | 东南 | 精装 | 有电梯,https://image1.ljcdn.com/shfdfs-image/20180123/66db8c83-c278-4465-b76a-75f005a84d87.jpg.296x216.jpg
20190504,浦东,陆家嘴,滨江大楼 2室1厅 500万,500万,滨江大楼  | 2室1厅 | 70.76平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/c543b507-d1c7-45f4-b5af-a33d4fe050a5.jpg.296x216.jpg
20190504,浦东,陆家嘴,台湾业主变现江景大三房含车位少税费诚意售,2800万,盛大金磐  | 3室2厅 | 266平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/rsp_pic_upload1f78d14b-8f12-4833-9304-52d015035f7f.jpg.296x216.jpg
20190504,浦东,陆家嘴,房子满五年、朝北看陆家嘴景观、仁恒入门级产品,1100万,仁恒滨江园  | 2室2厅 | 88.99平米 | 西北 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/3c30890f-3a3f-4978-a866-455a60a1eeb5.jpg.296x216.jpg
20190504,浦东,陆家嘴,2 4号线 一梯三户 独门独户南北两房 83年好贷款 诚卖,310万,崂山新村  | 2室0厅 | 46.37平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/d4639e09-6735-47ee-8532-21c79ce26cd8.jpg.296x216.jpg
20190504,浦东,陆家嘴,业主急售+陆家嘴板块+户型通透+精致装修+随时入住,830万,世茂滨江花园  | 1室1厅 | 93.08平米 | 西北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/d6fd8c53-441d-4d3e-bcb7-4c4d89ce777f.jpg.296x216.jpg
