20190504,浦东,金杨,6号线距离200米双南全明通透户型+精装修税费低随时看,318万,金杨新村三街坊  | 2室1厅 | 60.75平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/0ba53f21-b7ee-46a2-b12f-fcfce2e45db0.jpg.296x216.jpg
20190504,浦东,金杨,罗山六村 2室1厅 355万,355万,罗山六村  | 2室1厅 | 59.58平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-91ce7205-e04f-4999-ac8c-9dbffebab31b.jpg.296x216.jpg
20190504,浦东,金杨,此房满五唯一，只有契税，一梯两户，生活配套齐,230万,栖山路1861弄  | 1室1厅 | 45.69平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-a1f02c73-2150-4f73-8232-b12be6ff09dc.jpg.296x216.jpg
20190504,浦东,金杨,南北小两房，婚房装修，诚意出售，花园位置，提前预约,250万,罗山三村  | 2室1厅 | 51.22平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-15607c19-0908-4901-9d36-220ade2bf17b.jpg.296x216.jpg
20190504,浦东,金杨,罗山四村 2室1厅 320万,320万,罗山四村  | 2室1厅 | 60.13平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-29a7ded7-3bfe-4824-b091-25b6ca9c5449.jpg.296x216.jpg
20190504,浦东,金杨,小两房，一梯两户，南北通，楼层赞！98年商品房！,245万,金台三居  | 2室1厅 | 54平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-dce52224-003e-4c58-adeb-287a65dad4c6.jpg.296x216.jpg
20190504,浦东,金杨,上海未来 2室2厅 1016万,1016万,上海未来  | 2室2厅 | 107平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-06080002-efb3-446d-b3ca-3e1074a9e9f0.jpg.296x216.jpg
20190504,浦东,金杨,双南户型，厨卫全明，动迁房，业主诚心卖房,470万,金杨新村八街坊  | 2室1厅 | 89.14平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-7ba8acaa-3461-4f02-a0ee-c50cfd5ed115.jpg.296x216.jpg
20190504,浦东,金杨,一梯三户，楼层好，南北通，采光足，满五唯一少税,408万,罗山四村  | 2室2厅 | 85.31平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-6c023297-943b-4c76-b12f-d0807f06c267.jpg.296x216.jpg
20190504,浦东,金杨,新上房源，底楼一房，小区央座，采光通风好，视野开阔房主自荐,240万,香山新村东北街坊  | 1室1厅 | 43.84平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-33e1de60-9ecd-40ca-a267-24e1ee85343a.png.296x216.jpg
20190504,浦东,金杨,金桥瑞仕花园2房总价低，成交活跃双南户型。,1100万,金桥瑞仕花园  | 2室2厅 | 112.1平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-1df57552-9b8f-415e-b162-628a86e45cf7.jpg.296x216.jpg
20190504,浦东,金杨,一梯两户 地铁六号线 德平路 南北两房 拎包入住,435万,仁和花苑  | 2室2厅 | 76.62平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-34b64804-d5f8-4eea-be9d-778ebb904d3f.png.296x216.jpg
20190504,浦东,金杨,广洋苑 2室2厅 780万,780万,广洋苑  | 2室2厅 | 95.58平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-7f4df4bb-936d-4695-b487-8046a41fdf36.png.296x216.jpg
20190504,浦东,金杨,电梯两房，满五年，诚心 出售。,460万,金樟花苑  | 2室1厅 | 76.04平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-e57681d6-920e-4712-918b-3467be5806b9.jpg.296x216.jpg
20190504,浦东,金杨,金杨七街坊 2室1厅 330万,330万,金杨七街坊  | 2室1厅 | 52.43平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-8625dc84-3850-419b-86f2-6b9ddff39404.jpg.296x216.jpg
20190504,浦东,金杨,精装修，房型正气， 采光好，楼层好，位置好,420万,罗山七村  | 2室2厅 | 75.64平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-57adffb6-0499-434d-85a1-772b507fca33.jpg.296x216.jpg
20190504,浦东,金杨,楼下就是地铁9号线+满五年+诚意卖+看房方便+诚售,505万,金杨公寓  | 2室2厅 | 100.88平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-68c7ec9e-d6db-43e1-b4d5-cd56330a69fc.jpg.296x216.jpg
20190504,浦东,金杨,满五唯一，带阁楼，阁楼大，还带2露台,630万,蝶恋园  | 2室2厅 | 93.34平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-b568b367-bfed-44e8-b696-597e48bd0420.jpg.296x216.jpg
20190504,浦东,金杨,花园位置  产权车位 大两房 诚意出售看房方便,800万,东方知音苑  | 2室2厅 | 98.07平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-47293ad2-b0ec-4cc1-b443-a830edb73956.jpg.296x216.jpg
20190504,浦东,金杨,模范小区，二房出售。非顶楼，采光好，地铁近,330万,金杨二街坊  | 2室1厅 | 61.75平米 | 东南 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-2725e0e0-96fd-4e16-bea5-c9176a8243a3.jpg.296x216.jpg
20190504,浦东,金杨,满五唯一，房改售房，房型正气，南北户型，楼层好,340万,罗山五村  | 2室1厅 | 60.99平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-a100c979-cb34-4c2d-ae9f-c39e86c13174.jpg.296x216.jpg
20190504,浦东,金杨,金杨新村九街坊 2室1厅 350万,350万,金杨新村九街坊  | 2室1厅 | 56.05平米 | 南 | 其他 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-68251cd2-b73c-4aee-91c1-36dda609639e.jpg.296x216.jpg
20190504,浦东,金杨,金杨新村五街坊 1室1厅 260万,260万,金杨新村五街坊  | 1室1厅 | 48.73平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-ff8c38c4-5a4b-4695-acf0-a871d83d9b50.jpg.296x216.jpg
20190504,浦东,金杨,香山新村东南街坊 1室1厅 200万,200万,香山新村东南街坊  | 1室1厅 | 39.65平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-1f0e9051-058e-4994-8d53-df61b00ca88d.jpg.296x216.jpg
20190504,浦东,金杨,电梯房！靠内环，德平路地铁站，公交地铁方便。,430万,锦绣河山  | 2室1厅 | 78.92平米 | 西南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-d268f6b7-c034-44a5-bf78-463ba6dda651.png.296x216.jpg
20190504,浦东,金杨,{两房的价格房的面积}，满五唯一，无增值税，花园,340万,罗山四村  | 2室1厅 | 70平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-eff1ac39-7cd4-45e0-9998-5fa4be7b6e02.png.296x216.jpg
20190504,浦东,金杨,《三村边套全明户型，总价低》采光充足，视野开阔,220万,罗山三村  | 1室1厅 | 46.39平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-7499eec7-04a9-4bba-a433-42c37e72ecef.png.296x216.jpg
20190504,浦东,金杨,精装修的大一房，小区中间，不靠马路，保养很好,260万,金杨二街坊  | 1室1厅 | 44.7平米 | 东南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-ef9a9c89-9913-4c01-8d58-bf5e493249eb.jpg.296x216.jpg
20190504,浦东,金杨,金杨六街坊 精装修 致远  随时看房,470万,金杨六街坊  | 3室1厅 | 83.08平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-fd6213a3-d3b6-46a5-841d-59bb0a2c0c18.jpg.296x216.jpg
20190504,浦东,金杨,9号线蓝天路站旁，户型正气，看房方便，房东诚意出售,460万,银山小区  | 3室2厅 | 85.81平米 | 暂无数据 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-72e03061-4c4a-4714-8abd-12c477ea26b2.jpg.296x216.jpg
20190504,浦东,金杨,金杨九街坊2楼两房，一梯两户，全明户型，满五唯一,340万,金杨新村九街坊  | 2室1厅 | 64.7平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-444cc657-0088-46ef-812c-43e0d72a7891.jpg.296x216.jpg
20190504,浦东,金杨,精装修两年可拎包入住+明户型+房东诚心出售,310万,仁和花苑  | 2室1厅 | 56.96平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-af664e8f-1e36-4a80-83bb-a4f5e3a85035.jpg.296x216.jpg
20190504,浦东,金杨,金杨七街坊 2室1厅 380万,380万,金杨七街坊  | 2室1厅 | 69.02平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-dccef7ff-f1b1-410a-92bb-e1ee3fba8d71.jpg.296x216.jpg
20190504,浦东,金杨,香山新村东北街坊 2室1厅 388万,388万,香山新村东北街坊  | 2室1厅 | 65.49平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-c98ffd89-d661-4544-bf1e-20f07dadfd79.jpg.296x216.jpg
20190504,浦东,金杨,一手动迁，满五唯一，双南户型，税费少，采光十足,390万,罗山七村  | 2室2厅 | 75.18平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-d846e805-2c91-49a1-aa3f-b6d6562d600a.jpg.296x216.jpg
20190504,浦东,金杨,此房是一手动迁，满五年，暂时是业主父母在住看房方便,364万,香山新村西南街坊  | 2室1厅 | 69.39平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-753f2483-8c02-465c-928d-36427c3b5d31.jpg.296x216.jpg
20190504,浦东,金杨,金桥路530弄 3室2厅 830万,830万,金桥路530弄  | 3室2厅 | 128.93平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-464d5e78-6a15-4300-bfcf-bfa9de9b195d.png.296x216.jpg
20190504,浦东,金杨,香山新村东北街坊  一梯两户  居家装修房主自荐,328万,香山新村东北街坊  | 2室1厅 | 63.44平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-323d1a02-0467-44d2-b105-496ae4b15ed3.png.296x216.jpg
20190504,浦东,金杨,电梯房，南北户型，采光充足。诚心出售。江景房。,660万,上房金丰苑  | 2室2厅 | 111.24平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-d1cdc9b9-7e16-406f-b6cd-5a8881597e54.png.296x216.jpg
20190504,浦东,金杨,满五年唯一  非顶楼 房东诚意出售,216万,罗山三村  | 1室1厅 | 45.19平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-68e6b207-ec3c-4988-843f-fc4df9392ee2.png.296x216.jpg
20190504,浦东,金杨,中内环间，位置佳，房型方正，全明户型！房主自荐,310万,金杨七街坊  | 2室1厅 | 61.46平米 | 西南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-540350a5-6d83-4df1-a29e-819327f053d0.png.296x216.jpg
20190504,浦东,金杨,罗山二村 1室1厅 245万,245万,罗山二村  | 1室1厅 | 40.47平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-74bf76bd-5a0e-4439-94e6-fa3d75cb347b.png.296x216.jpg
20190504,浦东,金杨,精装修大一房，朝南采光充足，房本满五年,240万,罗山三村  | 1室1厅 | 47.8平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-385d25a3-cb18-4b03-a70d-3834e7725635.jpg.296x216.jpg
20190504,浦东,金杨,3条地铁边上、中环以内、价格实惠、看房提前电话联系,330万,金杨新村五街坊  | 2室1厅 | 58.03平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-202256b6-e158-493b-b3e9-50f0c6bfbc06.png.296x216.jpg
20190504,浦东,金杨,寺前浜小区，西边套，客厅有窗朝西,210万,寺前浜  | 1室1厅 | 44.79平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-5daecfe2-dbbd-4f5e-8179-725160b5d99e.jpg.296x216.jpg
20190504,浦东,金杨,一手动迁、一梯两户，不靠马路，近三条地铁6.9.14号线,535万,金杨新村四街坊  | 3室1厅 | 88.52平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-fa73fd8f-cf82-4691-93e6-24c6207f6fdc.jpg.296x216.jpg
20190504,浦东,金杨,满五唯一，全明南北两房，产权清晰，没有户口,280万,罗山一村  | 2室1厅 | 52.84平米 | 南 | 其他 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-0ed65d5a-477e-47ef-830c-d0e5c6498b00.png.296x216.jpg
20190504,浦东,金杨,位置安静，户型方正，精装修，诚意出售价格可谈,195万,金台三居  | 1室1厅 | 40.93平米 | 东南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-7f7b0f23-3bd0-4c7d-ab68-823fc519117c.png.296x216.jpg
20190504,浦东,金杨,金杨公寓 2室2厅 610万,610万,金杨公寓  | 2室2厅 | 106平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-b5b96e86-3c93-4915-b0e3-d25edb964e4c.jpg.296x216.jpg
20190504,浦东,金杨,（全明户型）6号线德平路地铁口，罗山菜场浦商百货！,340万,罗山六村  | 2室1厅 | 59.29平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-4bbeaaf4-2dff-4aca-8619-2913b55001b3.jpg.296x216.jpg
20190504,浦东,金杨,3年前精装 客厅15平 近地铁6+9+14号线 可改2房 急售房主自荐,258万,香山新村东北街坊  | 1室1厅 | 55平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-21debee3-6787-4cf4-8bcc-2539fd5a8eae.jpg.296x216.jpg
20190504,浦东,金杨,南北通风格局，业主诚意出售，看房方便，税费少！,580万,黄山始信苑  | 2室1厅 | 67.64平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-466224a7-2284-45b8-b2d1-ac2c81fbc99e.jpg.296x216.jpg
20190504,浦东,金杨,中环内，金桥国际板块，诚意出售，看房方便欢迎品鉴,390万,金台三居  | 2室1厅 | 84.2平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-bf53eef7-f647-40f2-9e45-7a32b51e9791.jpg.296x216.jpg
20190504,浦东,金杨,业主置换，南北通透两房，居家装修！适合年轻人！,310万,罗山六村  | 2室1厅 | 62.73平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-881f8718-ccf6-43e9-b234-fe54b9d0f1a0.jpg.296x216.jpg
20190504,浦东,金杨,品质小区，原始三房，3楼楼层好，采光通风好,820万,点睛苑  | 3室2厅 | 119.8平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-c339987b-3863-4820-ac2b-d82e862635ce.jpg.296x216.jpg
20190504,浦东,金杨,金杨新村四街坊 2室1厅 410万,410万,金杨新村四街坊  | 2室1厅 | 69.15平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-d56d26aa-4812-44c1-aad9-412e2201ffa5.jpg.296x216.jpg
20190504,浦东,金杨,香山新村~双南两房一厅小区中间位置采光好，诚意出售,285万,香山新村东南街坊  | 2室1厅 | 59.87平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-0c3e54a4-fe93-4364-b160-2cc5dd7fffcf.jpg.296x216.jpg
20190504,浦东,金杨,中环内房改房，全明两房，去新加坡,330万,罗山二村  | 2室1厅 | 60.73平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-7d968806-85f9-4e71-b92b-746282749d9a.jpg.296x216.jpg
20190504,浦东,金杨,楼层好，位置好，精装修，诚意出售，小区央座，税费低,298万,金杨新村九街坊  | 2室1厅 | 52.85平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-c1da206a-7143-4a7a-932c-e5b16f7f0156.jpg.296x216.jpg
20190504,浦东,金杨,动迁满五年唯一，一梯两户，不靠马路，6/9双线地铁,440万,金杨新村四街坊  | 3室1厅 | 74.64平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-d40a2998-4ed4-4ba4-9c92-085e1b084022.jpg.296x216.jpg
20190504,浦东,金杨,电梯房，采光视野好，采光充足。未来趋势良好，,630万,金茂花园  | 3室2厅 | 121.64平米 | 东 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-322c4e09-a3d6-4b52-8e27-498ed217fa8a.jpg.296x216.jpg
20190504,浦东,金杨,二街坊模范小区 小区中间位置 地铁6号线 诚意出售,320万,金杨二街坊  | 2室1厅 | 61.62平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-15befb9b-5d37-43d9-b626-0122bb5d3896.jpg.296x216.jpg
20190504,浦东,金杨,房东诚意出售，价格可小刀，看房便利,260万,栖山路1861弄  | 1室1厅 | 45.75平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-acd0c89b-0bad-40e6-8ec7-b295cd592bbd.jpg.296x216.jpg
20190504,浦东,金杨,香山新村西南街坊 2室1厅 358万,358万,香山新村西南街坊  | 2室1厅 | 66.04平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-71508edf-7f0b-45f7-b060-bb226a09fdfd.jpg.296x216.jpg
20190504,浦东,金杨,银山小区 1室1厅 265万,265万,银山小区  | 1室1厅 | 52平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-19dbd28a-f713-4222-b479-14e84f597070.jpg.296x216.jpg
20190504,浦东,金杨,满五唯一免个税！南北户型，保养好，6号线，小三房,980万,上海未来  | 3室2厅 | 111.63平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-621e6a68-a05d-4381-89c3-18ca1257522e.jpg.296x216.jpg
20190504,浦东,金杨,满五年且产权人二分之一 唯一房产装修就象新的一样,280万,金杨二街坊  | 1室1厅 | 44.6平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-0beb2072-d284-477a-a57f-4a472506adb5.png.296x216.jpg
20190504,浦东,金杨,一手动迁，满五唯一，边套全明，户型方正格局好,240万,罗山四村  | 1室1厅 | 50平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-f62dc602-f4c4-473d-9a7e-61b789d35a70.png.296x216.jpg
20190504,浦东,金杨,一梯两户+两房朝南+厨卫朝北+得房率高+诚意出售,330万,香山新村西南街坊  | 2室1厅 | 65.1平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-541155af-b3fd-47c2-85f9-ce6e8b5291f0.jpg.296x216.jpg
20190504,浦东,金杨,2年婚房装修2楼，靠地铁6号线德平路站和9号线蓝天站,350万,香山新村西南街坊  | 2室1厅 | 65.1平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-dfbbfc40-947e-40e3-a9f3-28af68a8f9af.png.296x216.jpg
20190504,浦东,金杨,精装大两房，自住精装.面积大，布局合理，,650万,蝶恋园  | 2室1厅 | 93.65平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-a4d303f6-6907-40fe-97ea-ef19f28b7ea6.png.296x216.jpg
20190504,浦东,金杨,急卖，非顶楼，采光好，前面无遮挡，看房随时,250万,银山小区  | 1室1厅 | 50.18平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-7d07a6bc-0a4f-4bf9-b4ef-99bbf44dd6db.png.296x216.jpg
20190504,浦东,金杨,罗山一村+楼层好精装修+满五唯一,260万,罗山一村  | 1室1厅 | 52.52平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-ddff6970-8c6e-4bbe-8142-689c5c66519a.png.296x216.jpg
20190504,浦东,金杨,罗山四村 2室1厅 380万,380万,罗山四村  | 2室1厅 | 71平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-6603876b-e0e6-4cb3-80a8-6b28ec6e39c6.png.296x216.jpg
20190504,浦东,金杨,配套商品房，结构装修好，空间感十足。实地看房效果好,570万,香山新村西南街坊  | 2室1厅 | 97.14平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-447f09bd-26c9-4737-9020-9069e7e6ad92.jpg.296x216.jpg
20190504,浦东,金杨,金杨新村十一街坊 2室2厅 520万,520万,金杨新村十一街坊  | 2室2厅 | 88.24平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-b4dfdd83-d6a4-4d0e-ba0d-ff0b30f39eb2.png.296x216.jpg
20190504,浦东,金杨,中间楼层，看房随时，花园位置，价格可谈,270万,香山新村西南街坊  | 1室1厅 | 51.03平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-88d72011-e6b2-4f1e-905e-2b024eb737f5.jpg.296x216.jpg
20190504,浦东,金杨,中环内房改房，随时入住，电梯二楼,330万,沪东大楼  | 2室2厅 | 66.66平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-895e96b8-e5cf-4dbf-8c30-1ec0e24cfaf9.jpg.296x216.jpg
20190504,浦东,金杨,双南方正户型，小区位置好，一手动迁交易成本低！,330万,金杨七街坊  | 2室1厅 | 58.27平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-c65ed87a-f947-422e-b1a5-6b440473e517.jpg.296x216.jpg
20190504,浦东,金杨,金杨六街坊 2室2厅 508万,508万,金杨六街坊  | 2室2厅 | 83.08平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-07374d77-1b65-4d55-893d-428c82dda250.jpg.296x216.jpg
20190504,浦东,金杨,东方知音苑 2室2厅 780万,780万,东方知音苑  | 2室2厅 | 82.09平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-2ff0c57f-25a7-40a4-a57a-c06f38a6fbcc.jpg.296x216.jpg
20190504,浦东,金杨,香山新村西北街坊 1室1厅 260万,260万,香山新村西北街坊  | 1室1厅 | 49.95平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-b7290dcb-f7cf-4f66-8afa-49a53d11be47.jpg.296x216.jpg
20190504,浦东,金杨,双南户型，采光十足，中等装修，业主诚意出售,499万,黄山新村  | 2室1厅 | 66.3平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-4b136f63-1966-4d8d-9bac-ea6c3ef055d4.jpg.296x216.jpg
20190504,浦东,金杨,金杨新村九街坊 2室1厅 370万,370万,金杨新村九街坊  | 2室1厅 | 74.68平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-620b9ded-e215-44ed-89f1-f3060b84a9f5.jpg.296x216.jpg
20190504,浦东,金杨,罗山五村 1室1厅 248万,248万,罗山五村  | 1室1厅 | 42.82平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-b14666a7-d1db-4278-9c3d-2fb59021d9ab.jpg.296x216.jpg
20190504,浦东,金杨,精装修一房 可做两房 全明户型 小区中间位置 单价低,235万,香山新村西南街坊  | 1室1厅 | 45.85平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-327c9e72-075f-48f5-bd50-c51dfd73bdb3.png.296x216.jpg
20190504,浦东,金杨,金杨新村三街坊 3室2厅 390万,390万,金杨新村三街坊  | 3室2厅 | 72.21平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-27a95fa0-88a5-405a-aff0-84c1dc16772f.png.296x216.jpg
20190504,浦东,金杨,金杨新村三街坊 1室1厅 245万,245万,金杨新村三街坊  | 1室1厅 | 43.13平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-04565716-dc43-4951-a04c-a62e3ea50e6f.png.296x216.jpg
20190504,浦东,金杨,年轻人适合居住，次顶楼，采光好，位置安静,245万,金杨七街坊  | 1室1厅 | 49.52平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-84ed4e3e-0620-4325-9a2b-7a1b2042297a.jpg.296x216.jpg
20190504,浦东,金杨,金杨二街坊 1室1厅 260万,260万,金杨二街坊  | 1室1厅 | 44.7平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-b5f60441-92fc-4217-9c9d-d75c36db89e3.jpg.296x216.jpg
20190504,浦东,金杨,直套一房 楼层好 视野开阔 看房方便,240万,金杨新村五街坊  | 1室1厅 | 46.67平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-e262159d-a167-4940-9abe-bc6584eb1364.jpg.296x216.jpg
20190504,浦东,金杨,（一楼带天井），小区环境好！诚意出售，价格有空间！,238万,罗山四村  | 1室1厅 | 48.54平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-d1fbad93-9ae1-4eac-9c1c-b38253782c58.jpg.296x216.jpg
20190504,浦东,金杨,3楼，大三房，业主急卖，看房联系维护人,370万,金杨新村九街坊  | 3室1厅 | 74平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-099a6014-ef6a-430a-8e08-716b82984a50.png.296x216.jpg
20190504,浦东,金杨,一梯一户南北通大三房 小区私密性好环境优美,1000万,龙居花苑  | 3室2厅 | 152.3平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-1a227ea9-4363-4374-b5f0-8cc8bf936175.png.296x216.jpg
20190504,浦东,金杨,仁和花苑 3室2厅 678万,678万,仁和花苑  | 3室2厅 | 124.3平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-bbe2ac33-6f2b-4fc0-8313-4e93380c1e4e.png.296x216.jpg
20190504,浦东,金杨,金杨小户型，低总价，南北通，楼层佳，有空间,225万,金杨新村九街坊  | 1室1厅 | 41.04平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-a6666014-20a1-4543-b1c3-2b833d8d31ac.png.296x216.jpg
20190504,浦东,金杨,96年电梯商品房 楼层好 一手动迁 满五唯一,450万,香山新村东南街坊  | 2室1厅 | 79.07平米 | 西南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-c813d879-6511-46a1-927e-ce63679f0d98.png.296x216.jpg
20190504,浦东,金杨,双南小两房，近地铁，一手动迁少税，采光好，视野开阔,270万,香山新村东南街坊  | 2室1厅 | 59.87平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-f63b34cf-268e-4c27-8852-d26ad51ca4f7.jpg.296x216.jpg
20190504,浦东,金杨,艾山新村 1室1厅 275万,275万,艾山新村  | 1室1厅 | 54.26平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-c7048773-95b6-4dea-8f83-82d737d4cfd7.jpg.296x216.jpg
20190504,浦东,金杨,此房产证满五年唯一不靠路、采光充足，交通便利。,410万,金杨新村十一街坊  | 2室2厅 | 73.65平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-b63e475a-5711-43a7-84c5-0db2c5b3949c.jpg.296x216.jpg
